PlanetName,HostName,NumOfStars,NumOfPlanets,DiscoveryMethod,DiscoveryYear,DiscoveryFacility,ControversialFlag,OrbitalPeriod,OrbitSemi-MajorAxis,Eccentricity,EquilibriumTemperature,StellarEffectiveTemperature,StellarMetallicity,StellarSurfaceGravity,RightAscension,Declination,DistancetoPlanetarySystem,StellarBrightnessGaia,PlanetMass,StellarMass,PlanetRadiusKm,StellarRadiusKm,PlanetGravity,StellarVolume,StellarDensity
Kepler-1428 b,Kepler-1428,1,1,Transit,2016,Kepler,0,10.6761592,0.1059,0.0,1049.0,6460.0,0.4,4.27,297.6422563,49.594958,1530.32,13.5234,2.7642613821091524e+30,2.764015e+30,11404.09,994851.0,1418611767550.6616,4.124418552819331e+18,670158705912.7645
Kepler-1429 b,Kepler-1429,1,1,Transit,2016,Kepler,0,4.48487493,0.0549,0.0,1188.0,6210.0,-0.1,4.45,285.3662532,49.0448172,1214.09,14.8316,2.1824166653043182e+30,2.167465e+30,7581.49,716571.0,2534161333053.5674,1.5412258817404547e+18,1406325332113.1323
Kepler-1429 b,Kepler-1429,1,1,Transit,2016,Kepler,0,4.48494315,0.055,0.0,1199.0,6217.0,-0.08,4.44,285.3662532,49.0448172,1214.09,14.8316,2.1942974193634103e+30,2.18735e+30,7836.33,730485.0,2384930803770.549,1.632760617564857e+18,1339663620293.753
Kepler-143 b,Kepler-143,1,2,Transit,2014,Kepler,0,16.00749754,0.1239,0.0,767.0,6010.0,-0.16,4.4,298.0676519,49.412541,809.467,13.7057,1.969193258506238e+30,1.968615e+30,11595.220000000001,723528.0,977543467431.1973,1.5865531923692692e+18,1240812479195.9739
Kepler-143 b,Kepler-143,1,2,Transit,2014,Kepler,0,16.00747237,0.1241,0.0,838.0,5857.0,-0.04,4.2,298.0676519,49.412541,809.467,13.7057,1.978750927479734e+30,1.968615e+30,19049.29,904410.0,363947942285.0503,3.098736703846229e+18,635295989348.3386
Kepler-143 c,Kepler-143,1,2,Transit,2014,Kepler,0,27.08247084,0.1759,0.0,644.0,6010.0,-0.16,4.4,298.0676519,49.412541,809.467,13.7057,1.9685310012906365e+30,1.968615e+30,15035.56,723528.0,581177464856.992,1.5865531923692692e+18,1240812479195.9739
Kepler-143 c,Kepler-143,1,2,Transit,2014,Kepler,0,27.08239734,0.1762,0.0,703.0,5857.0,-0.04,4.2,298.0676519,49.412541,809.467,13.7057,1.978631003333949e+30,1.968615e+30,20705.75,904410.0,308026868947.2951,3.098736703846229e+18,635295989348.3386
Kepler-1430 b,Kepler-1430,1,1,Transit,2016,Kepler,0,2.46050993,0.0304,0.0,969.0,4811.0,-0.58,4.63,289.6975391,43.3719581,875.523,15.2824,1.2310957027194621e+30,1.23287e+30,6562.13,438291.0,1908129647571.49,3.5267629339400915e+17,3495755238140.2637
Kepler-1430 b,Kepler-1430,1,1,Transit,2016,Kepler,0,2.46050095,0.0304,0.0,969.0,4811.0,-0.58,4.63,289.6975391,43.3719581,875.523,15.2824,1.2311046889054534e+30,1.23287e+30,6562.13,438291.0,1908143575658.373,3.5267629339400915e+17,3495755238140.2637
Kepler-1431 b,Kepler-1431,1,1,Transit,2016,Kepler,0,5.86601526,0.0648,0.0,1064.0,6020.0,0.02,4.43,292.6583919,49.8651522,1623.24,15.2711,2.0977800427790238e+30,2.087925e+30,9301.66,723528.0,1618246779377.957,1.5865531923692692e+18,1316013235510.8816
Kepler-1431 b,Kepler-1431,1,1,Transit,2016,Kepler,0,5.8660127,0.0648,0.0,1064.0,6020.0,0.02,4.43,292.6583919,49.8651522,1623.24,15.2711,2.0977818737733834e+30,2.087925e+30,9237.949999999999,723528.0,1640645824347.9841,1.5865531923692692e+18,1316013235510.8816
Kepler-1432 b,Kepler-1432,1,1,Transit,2016,Kepler,0,23.9109011,0.167,0.0,722.0,6313.0,-0.12,4.37,295.5241011,49.8295211,2171.87,15.3702,2.1611197678256077e+30,2.14758e+30,14143.62,779184.0000000001,721046711444.2625,1.9815666635690836e+18,1083778829894.0712
Kepler-1432 b,Kepler-1432,1,1,Transit,2016,Kepler,0,23.9107056,0.1696,0.0,709.0,6338.0,-0.1,4.42,295.5241011,49.8295211,2171.87,15.3702,2.2636749657330517e+30,2.2668899999999998e+30,12168.609999999999,758313.0,1020323400281.9995,1.8265607168162396e+18,1241070159414.8318
Kepler-1434 b,Kepler-1434,1,1,Transit,2016,Kepler,0,8.05333618,0.0803,0.0,1186.0,6350.0,-0.32,4.15,295.5384415,51.2030002,775.529,12.0421,2.1179528473141622e+30,2.10781e+30,5479.0599999999995,1001808.0,4708796240808.917,4.2115513053698586e+18,500483039898.4994
Kepler-1434 b,Kepler-1434,1,1,Transit,2016,Kepler,0,8.05337912,0.0894,0.0,1320.0,6231.0,0.24,3.98,295.5384415,51.2030002,775.529,12.0421,2.922655158290082e+30,2.923095e+30,8154.88,1433142.0,2933243726708.844,1.2329807053923637e+19,237075486032.83307
Kepler-1435 b,Kepler-1435,1,1,Transit,2016,Kepler,0,4.45343281,0.0568,0.0,1427.0,6664.0,-0.18,4.27,291.1732806,44.9210836,704.211,12.8692,2.451187352021572e+30,2.46574e+30,5988.74,932238.0,4561538170195.993,3.393665351875843e+18,726571345237.9935
Kepler-1435 b,Kepler-1435,1,1,Transit,2016,Kepler,0,4.45342418,0.0546,0.0,1331.0,6256.0,-0.08,4.27,291.1732806,44.9210836,704.211,12.8692,2.177264097269508e+30,2.167465e+30,5733.900000000001,883539.0,4419942360038.129,2.8891213407531407e+18,750215980695.0101
Kepler-1436 b,Kepler-1436,1,1,Transit,2016,Kepler,0,9.705693,0.0907,0.0,1001.0,5808.0,0.14,4.18,297.711553,46.7679816,2530.62,14.9099,2.1013097214928592e+30,2.10781e+30,13187.97,967022.9999999999,806380268386.8069,3.7879044915096965e+18,556458064009.929
Kepler-1436 b,Kepler-1436,1,1,Transit,2016,Kepler,0,9.705716,0.0881,0.0,943.0,6198.0,-0.36,4.38,297.711553,46.7679816,2530.62,14.9099,1.925723257211728e+30,1.928845e+30,8027.46,730485.0,1994542518238.9333,1.632760617564857e+18,1181339737895.4001
Kepler-1437 b,Kepler-1437,1,1,Transit,2016,Kepler,0,10.9295461,0.0954,0.0,773.0,5796.0,-0.12,4.54,291.8649164,49.325869,2101.69,15.6607,1.928244850955248e+30,1.928845e+30,8409.720000000001,605259.0,1819721102406.877,9.287789784673889e+17,2076753506181.6917
